"ward_clusters"	"complete_clusters"
"OTU742"	148	186
"OTU743"	NA	73
"OTU744"	NA	NA
"OTU745"	120	138
"OTU747"	NA	NA
"OTU748"	167	NA
"OTU752"	NA	NA
"OTU753"	NA	NA
"OTU757"	84	NA
"OTU758"	NA	NA
"OTU763"	183	183
"OTU764"	106	128
"OTU772"	NA	166
"OTU773"	104	57
"OTU774"	159	167
"OTU775"	NA	NA
"OTU776"	NA	171
"OTU777"	141	165
"OTU779"	NA	174
"OTU780"	NA	171
"OTU781"	NA	NA
"OTU782"	NA	NA
"OTU784"	NA	NA
"OTU787"	NA	NA
"OTU789"	NA	NA
"OTU790"	99	NA
"OTU791"	NA	NA
"OTU792"	NA	NA
"OTU793"	NA	NA
"OTU795"	NA	NA
"OTU796"	132	NA
"OTU797"	NA	NA
"OTU798"	NA	NA
"OTU799"	NA	NA
"OTU800"	177	151
"OTU801"	NA	NA
"OTU802"	NA	NA
"OTU803"	104	NA
"OTU805"	NA	NA
"OTU806"	NA	NA
"OTU807"	NA	NA
"OTU808"	159	167
"OTU811"	108	NA
"OTU813"	NA	NA
"OTU814"	165	NA
"OTU815"	NA	143
"OTU816"	189	187
"OTU817"	NA	NA
"OTU818"	NA	NA
"OTU819"	184	NA
"OTU820"	NA	NA
"OTU823"	NA	NA
"OTU824"	177	151
"OTU825"	NA	NA
"OTU826"	NA	NA
"OTU827"	116	NA
"OTU828"	NA	NA
"OTU829"	78	NA
"OTU832"	187	131
"OTU833"	NA	NA
"OTU834"	NA	NA
"OTU835"	185	192
"OTU839"	187	NA
"OTU840"	57	63
"OTU841"	114	83
"OTU842"	NA	NA
"OTU844"	NA	NA
"OTU849"	NA	NA
"OTU851"	NA	NA
"OTU852"	174	NA
"OTU854"	NA	143
"OTU857"	NA	NA
"OTU858"	NA	NA
"OTU860"	NA	159
"OTU863"	98	119
"OTU864"	NA	NA
"OTU865"	151	181
"OTU867"	NA	NA
"OTU868"	NA	NA
"OTU870"	185	192
"OTU871"	NA	143
"OTU873"	NA	186
"OTU875"	185	192
"OTU876"	134	43
"OTU877"	NA	171
"OTU879"	170	194
"OTU881"	NA	NA
"OTU882"	NA	NA
"OTU883"	119	133
"OTU884"	NA	73
"OTU885"	NA	NA
"OTU886"	167	102
"OTU888"	NA	NA
"OTU889"	150	NA
"OTU890"	137	NA
"OTU892"	131	NA
"OTU893"	NA	NA
"OTU894"	62	78
"OTU895"	113	NA
"OTU896"	118	137
"OTU897"	NA	NA
"OTU898"	NA	191
"OTU899"	NA	NA
"OTU901"	20	27
"OTU902"	82	108
"OTU903"	NA	NA
"OTU906"	NA	NA
"OTU907"	171	NA
"OTU909"	146	NA
"OTU910"	NA	NA
"OTU911"	147	154
"OTU914"	NA	NA
"OTU915"	NA	NA
"OTU916"	159	167
"OTU917"	176	NA
"OTU918"	NA	NA
"OTU919"	NA	NA
"OTU920"	NA	143
"OTU921"	NA	NA
"OTU922"	139	NA
"OTU924"	NA	NA
"OTU925"	NA	NA
"OTU926"	109	135
"OTU927"	NA	NA
"OTU930"	NA	NA
"OTU931"	NA	NA
"OTU932"	15	17
"OTU933"	NA	NA
"OTU935"	NA	NA
"OTU936"	NA	91
"OTU941"	NA	88
"OTU942"	NA	NA
"OTU943"	NA	NA
"OTU944"	173	148
"OTU945"	131	NA
"OTU946"	28	35
"OTU947"	51	NA
"OTU948"	164	NA
"OTU950"	NA	NA
"OTU951"	NA	179
"OTU952"	21	194
"OTU955"	NA	NA
"OTU956"	36	97
"OTU957"	NA	NA
"OTU959"	28	35
"OTU961"	NA	NA
"OTU964"	NA	NA
"OTU965"	NA	88
"OTU966"	NA	NA
"OTU969"	NA	NA
"OTU970"	175	NA
"OTU971"	NA	NA
"OTU972"	132	NA
"OTU974"	78	NA
"OTU975"	45	49
"OTU977"	56	67
"OTU978"	NA	NA
"OTU986"	121	NA
"OTU987"	NA	NA
"OTU989"	NA	NA
"OTU990"	NA	NA
"OTU991"	148	186
"OTU994"	109	135
"OTU995"	NA	NA
"OTU996"	NA	NA
"OTU1000"	185	192
"OTU1001"	109	135
"OTU1003"	NA	NA
"OTU1004"	NA	NA
"OTU1005"	185	192
"OTU1006"	99	NA
"OTU1007"	NA	NA
"OTU1008"	179	155
"OTU1009"	NA	NA
"OTU1010"	158	134
"OTU1012"	NA	NA
"OTU1013"	174	NA
"OTU1014"	NA	NA
"OTU1015"	92	117
"OTU1016"	103	125
"OTU1020"	NA	NA
"OTU1021"	139	NA
"OTU1022"	NA	NA
"OTU1024"	112	158
"OTU1026"	NA	NA
"OTU1027"	NA	122
"OTU1028"	67	NA
"OTU1029"	NA	NA
"OTU1030"	NA	NA
"OTU1031"	189	187
"OTU1033"	NA	NA
"OTU1034"	NA	NA
"OTU1037"	84	54
"OTU1038"	42	50
"OTU1040"	NA	NA
"OTU1041"	86	112
"OTU1042"	NA	143
"OTU1043"	146	62
"OTU1044"	NA	NA
"OTU1046"	NA	NA
"OTU1048"	NA	NA
"OTU1050"	NA	NA
"OTU1051"	NA	NA
"OTU1052"	NA	91
"OTU1053"	108	NA
"OTU1054"	157	NA
"OTU1055"	NA	NA
"OTU1056"	16	18
"OTU1060"	166	130
"OTU1062"	NA	NA
"OTU1063"	NA	NA
"OTU1064"	NA	NA
"OTU1066"	NA	NA
"OTU1067"	24	37
"OTU1068"	NA	NA
"OTU1069"	159	167
"OTU1070"	NA	110
"OTU1071"	NA	NA
"OTU1072"	NA	NA
"OTU1073"	NA	NA
"OTU1074"	NA	NA
"OTU1075"	186	103
"OTU1078"	NA	179
"OTU1079"	NA	NA
"OTU1081"	NA	103
"OTU1083"	NA	NA
"OTU1084"	NA	NA
"OTU1085"	188	NA
"OTU1086"	153	140
"OTU1089"	NA	NA
"OTU1093"	163	173
"OTU1094"	138	157
"OTU1095"	162	180
"OTU1096"	NA	NA
"OTU1097"	133	152
"OTU1098"	94	NA
"OTU1100"	63	70
"OTU1101"	NA	NA
"OTU1103"	NA	NA
"OTU1107"	107	129
