OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU123	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	
OTU124	Bacteria	Bacteroidetes	Rhodothermia	Rhodothermales	Rhodothermaceae		
OTU125	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales			
OTU126	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade		
OTU127	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales			
OTU128	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group	
OTU129	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Candidatus_Aquirestis	
OTU130	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group	
OTU131	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	
OTU132	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	
OTU133	Bacteria	Planctomycetes	Pla3_lineage				
OTU134	Bacteria	Actinobacteria	Actinobacteria	PeM15			
OTU135	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Cyanobium_PCC-6307	
OTU136	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	
OTU137	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae		
OTU138	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Cyanobium_PCC-6307	
OTU139	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Cyanobium_PCC-6307	
OTU140	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	
OTU141	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group	
OTU142	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella	
OTU143	Bacteria	Actinobacteria	Actinobacteria	PeM15			
OTU144	Bacteria	Planctomycetes	OM190				
OTU145	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae		
OTU146	Bacteria	Proteobacteria	Gammaproteobacteria	OM182_clade			
OTU147	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
OTU148	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	LD29	
OTU149	Bacteria	Proteobacteria	Gammaproteobacteria	OM182_clade			
OTU150	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae		
OTU151	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Erwinia	
