#                                                                           running time (s)                 
#                                                                    -------------------------------          
#  idx  seq name  length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ----  --------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
   179  OTU1211      250      524      773  5'&3'    227.02   0.999       0.05       0.03       0.08      5.73
   180  OTU1212      250      524      773  5'&3'    227.20   1.000       0.05       0.02       0.07      5.67
   181  OTU1214      250      524      773  5'&3'    237.73   1.000       0.05       0.02       0.07      5.64
   182  OTU1215      250      524      773  5'&3'    228.52   1.000       0.05       0.02       0.08      5.68
   183  OTU1216      250      524      773  5'&3'    235.32   1.000       0.05       0.02       0.07      5.65
   184  OTU1217      250      524      773  5'&3'    224.10   1.000       0.05       0.03       0.08      5.84
   185  OTU1218      250      524      773  5'&3'    238.70   1.000       0.05       0.02       0.07      5.67
   186  OTU1219      250      524      773  5'&3'    235.72   1.000       0.05       0.02       0.07      5.64
   187  OTU122       250      524      773  5'&3'    223.69   0.999       0.05       0.02       0.08      5.73
   188  OTU12238     250      524      773  5'&3'    228.90   1.000       0.05       0.02       0.07      5.70
   189  OTU1224      250      524      773  5'&3'    236.73   1.000       0.05       0.02       0.07      5.65
   190  OTU1226      250      524      773  5'&3'    230.11   1.000       0.05       0.02       0.07      5.65
   191  OTU1227      250      524      773  5'&3'    235.53   1.000       0.05       0.02       0.07      5.64
   192  OTU1228      250      524      773  5'&3'    231.17   1.000       0.05       0.02       0.07      5.65
   193  OTU123       250      524      773  5'&3'    234.83   1.000       0.05       0.02       0.07      5.64
   194  OTU1230      250      524      773  5'&3'    220.74   1.000       0.05       0.03       0.08      5.78
   195  OTU1231      250      524      773  5'&3'    211.20   1.000       0.05       0.03       0.08      5.76
   196  OTU1234      250      524      773  5'&3'    227.87   0.999       0.05       0.03       0.08      5.81
   197  OTU12344     250      524      773  5'&3'    233.55   1.000       0.05       0.02       0.07      5.63
   198  OTU1237      250      524      773  5'&3'    233.38   0.999       0.05       0.02       0.08      5.75
   199  OTU1238      250      524      773  5'&3'    159.53   0.999       0.05       0.04       0.09      6.17
   200  OTU124       250      524      773  5'&3'    235.26   1.000       0.05       0.02       0.07      5.64
   201  OTU1240      249      524      773  5'&3'    224.71   0.997       0.05       0.03       0.08      5.73
   202  OTU1241      250      524      773  5'&3'    234.40   1.000       0.05       0.02       0.07      5.65
   203  OTU12431     250      524      773  5'&3'    222.13   0.999       0.05       0.03       0.08      5.79
   204  OTU1244      250      524      773  5'&3'    221.83   1.000       0.05       0.03       0.08      5.77
   205  OTU1245      250      524      773  5'&3'    226.56   1.000       0.05       0.02       0.08      5.75
   206  OTU1247      251      524      773  5'&3'    160.11   0.988       0.05       0.05       0.10      6.73
